Sending build context to Docker daemon  788.7MB
Step 1/14 : FROM fedora:latest
 ---> 536f3995adeb
Step 2/14 : WORKDIR /usr/src/app
 ---> Using cache
 ---> a2a86053c04e
Step 3/14 : RUN dnf -y install	R	wget	apt	perl        cpanminus    &&  rm -rf /var/lib/apt/lists/*
 ---> Using cache
 ---> 97c4bb33472d
Step 4/14 : RUN cpanm File::Spec::Link
 ---> Using cache
 ---> da111276356e
Step 5/14 : RUN INSTALL_PATH=/usr/src/app/anaconda     && wget http://repo.continuum.io/miniconda/Miniconda2-latest-Linux-x86_64.sh     && bash Miniconda2-latest* -fbp $INSTALL_PATH
 ---> Using cache
 ---> f4c38fbf0a05
Step 6/14 : ENV PATH=/root/anaconda/bin:$PATH
 ---> Using cache
 ---> 4fc6e2444523
Step 7/14 : ENV PATH=/usr/src/app/anaconda/bin:$PATH
 ---> Using cache
 ---> 4b72dd1d00e8
Step 8/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/lib64
 ---> Using cache
 ---> aca090f8318c
Step 9/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/src/app/code/Reapr_1.0.18_for_Evaldna/third_party/pezmaster31-bamtools/lib
 ---> Running in 3b5551fe4daa
Removing intermediate container 3b5551fe4daa
 ---> 7065bd3e0d74
Step 10/14 : RUN conda install -y --channel=r --channel=bioconda --channel=conda-forge        biopython==1.74         numpy==1.16.5         python==2.7.15         r-caret==6.0_83         r-randomforest==4.6_14         samtools==1.9     && conda clean -ya
 ---> Running in 1f2227202e12
Collecting package metadata (current_repodata.json): ...working... done
Solving environment: ...working... failed with initial frozen solve. Retrying with flexible solve.
Collecting package metadata (repodata.json): ...working... done
Solving environment: ...working... done
[91m

==> WARNING: A newer version of conda exists. <==
  current version: 4.7.12
  latest version: 4.8.3

Please update conda by running

    $ conda update -n base -c defaults conda


[0m
## Package Plan ##

  environment location: /usr/src/app/anaconda

  added / updated specs:
    - biopython==1.74
    - numpy==1.16.5
    - python==2.7.15
    - r-caret==6.0_83
    - r-randomforest==4.6_14
    - samtools==1.9


The following packages will be downloaded:

    package                    |            build
r-ggplot2-3.1.1      | 3.6 MB    |            |   0% r-ggplot2-3.1.1      | 3.6 MB    | ########## | 100% 
r-colorspace-1.4_1   | 2.5 MB    |            |   0% r-colorspace-1.4_1   | 2.5 MB    | ########## | 100% 
tktable-2.10         | 86 KB     |            |   0% tktable-2.10         | 86 KB     | ########## | 100% 
r-dichromat-2.0_0    | 163 KB    |            |   0% r-dichromat-2.0_0    | 163 KB    | ########## | 100% 
numpy-1.16.5         | 4.3 MB    |            |   0% numpy-1.16.5         | 4.3 MB    | ########## | 100% 
r-scales-1.0.0       | 580 KB    |            |   0% r-scales-1.0.0       | 580 KB    | ########## | 100% 
r-rcpproll-0.3.0     | 117 KB    |            |   0% r-rcpproll-0.3.0     | 117 KB    | ########## | 100% 
r-caret-6.0_83       | 6.0 MB    |            |   0% r-caret-6.0_83       | 6.0 MB    | ########## | 100% 
ld_impl_linux-64-2.3 | 616 KB    |            |   0% ld_impl_linux-64-2.3 | 616 KB    | ########## | 100% 
r-bh-1.69.0_1        | 10.9 MB   |            |   0% r-bh-1.69.0_1        | 10.9 MB   | ####       |  41% r-bh-1.69.0_1        | 10.9 MB   | ########## | 100% 
r-mass-7.3_51.3      | 1.1 MB    |            |   0% r-mass-7.3_51.3      | 1.1 MB    | ########## | 100% 
r-crayon-1.3.4       | 757 KB    |            |   0% r-crayon-1.3.4       | 757 KB    | ########## | 100% 
libxml2-2.9.9        | 1.3 MB    |            |   0% libxml2-2.9.9        | 1.3 MB    | ########## | 100% 
r-plyr-1.8.4         | 815 KB    |            |   0% r-plyr-1.8.4         | 815 KB    | ########## | 100% 
r-iterators-1.0.10   | 340 KB    |            |   0% r-iterators-1.0.10   | 340 KB    | ########## | 100% 
r-data.table-1.12.2  | 1.5 MB    |            |   0% r-data.table-1.12.2  | 1.5 MB    | ########## | 100% 
gxx_linux-64-7.3.0   | 21 KB     |            |   0% gxx_linux-64-7.3.0   | 21 KB     | ########## | 100% 
libtiff-4.1.0        | 668 KB    |            |   0% libtiff-4.1.0        | 668 KB    | ########## | 100% 
r-r6-2.4.0           | 68 KB     |            |   0% r-r6-2.4.0           | 68 KB     | ########## | 100% 
r-recipes-0.1.5      | 1.4 MB    |            |   0% r-recipes-0.1.5      | 1.4 MB    | ########## | 100% 
bwidget-1.9.14       | 119 KB    |            |   0% bwidget-1.9.14       | 119 KB    | ########## | 100% 
r-rlang-0.3.4        | 1.0 MB    |            |   0% r-rlang-0.3.4        | 1.0 MB    | ########## | 100% 
curl-7.68.0          | 137 KB    |            |   0% curl-7.68.0          | 137 KB    | ########## | 100% 
xorg-libxau-1.0.9    | 13 KB     |            |   0% xorg-libxau-1.0.9    | 13 KB     | ########## | 100% 
libuuid-1.0.3        | 15 KB     |            |   0% libuuid-1.0.3        | 15 KB     | ########## | 100% 
r-foreach-1.4.4      | 412 KB    |            |   0% r-foreach-1.4.4      | 412 KB    | ########## | 100% 
r-glue-1.3.1         | 165 KB    |            |   0% r-glue-1.3.1         | 165 KB    | ########## | 100% 
r-lubridate-1.7.4    | 1.1 MB    |            |   0% r-lubridate-1.7.4    | 1.1 MB    | ########## | 100% 
r-squarem-2017.10_1  | 302 KB    |            |   0% r-squarem-2017.10_1  | 302 KB    | ########## | 100% 
gfortran_linux-64-7. | 21 KB     |            |   0% gfortran_linux-64-7. | 21 KB     | ########## | 100% 
r-tidyr-0.8.3        | 446 KB    |            |   0% r-tidyr-0.8.3        | 446 KB    | ########## | 100% 
r-randomforest-4.6_1 | 229 KB    |            |   0% r-randomforest-4.6_1 | 229 KB    | ########## | 100% 
libdeflate-1.2       | 63 KB     |            |   0% libdeflate-1.2       | 63 KB     | ########## | 100% 
freetype-2.10.1      | 877 KB    |            |   0% freetype-2.10.1      | 877 KB    | ########## | 100% 
r-lazyeval-0.2.2     | 164 KB    |            |   0% r-lazyeval-0.2.2     | 164 KB    | ########## | 100% 
r-lattice-0.20_38    | 1.1 MB    |            |   0% r-lattice-0.20_38    | 1.1 MB    | ########## | 100% 
r-pkgconfig-2.0.2    | 25 KB     |            |   0% r-pkgconfig-2.0.2    | 25 KB     | ########## | 100% 
ca-certificates-2020 | 146 KB    |            |   0% ca-certificates-2020 | 146 KB    | ########## | 100% 
biopython-1.74       | 2.5 MB    |            |   0% biopython-1.74       | 2.5 MB    | ########## | 100% 
r-class-7.3_15       | 93 KB     |            |   0% r-class-7.3_15       | 93 KB     | ########## | 100% 
r-codetools-0.2_16   | 107 KB    |            |   0% r-codetools-0.2_16   | 107 KB    | ########## | 100% 
libblas-3.8.0        | 10 KB     |            |   0% libblas-3.8.0        | 10 KB     | ########## | 100% 
r-digest-0.6.18      | 155 KB    |            |   0% r-digest-0.6.18      | 155 KB    | ########## | 100% 
r-viridislite-0.3.0  | 66 KB     |            |   0% r-viridislite-0.3.0  | 66 KB     | ########## | 100% 
gettext-0.19.8.1     | 3.6 MB    |            |   0% gettext-0.19.8.1     | 3.6 MB    | ########## | 100% 
libgfortran-ng-7.3.0 | 1.7 MB    |            |   0% libgfortran-ng-7.3.0 | 1.7 MB    | ########## | 100% 
pcre-8.44            | 261 KB    |            |   0% pcre-8.44            | 261 KB    | ########## | 100% 
r-nnet-7.3_12        | 119 KB    |            |   0% r-nnet-7.3_12        | 119 KB    | #3         |  13% r-nnet-7.3_12        | 119 KB    | ########## | 100% 
r-labeling-0.3       | 71 KB     |            |   0% r-labeling-0.3       | 71 KB     | ########## | 100% 
pthread-stubs-0.4    | 5 KB      |            |   0% pthread-stubs-0.4    | 5 KB      | ########## | 100% 
r-timedate-3043.102  | 1.6 MB    |            |   0% r-timedate-3043.102  | 1.6 MB    | ########## | 100% 
htslib-1.9           | 1.2 MB    |            |   0% htslib-1.9           | 1.2 MB    | ########## | 100% 
pango-1.42.4         | 464 KB    |            |   0% pango-1.42.4         | 464 KB    | ########## | 100% 
gxx_impl_linux-64-7. | 15.0 MB   |            |   0% gxx_impl_linux-64-7. | 15.0 MB   | ######8    |  68% gxx_impl_linux-64-7. | 15.0 MB   | ########## | 100% 
r-dplyr-0.8.0.1      | 1.9 MB    |            |   0% r-dplyr-0.8.0.1      | 1.9 MB    | ########## | 100% 
r-numderiv-2016.8_1  | 132 KB    |            |   0% r-numderiv-2016.8_1  | 132 KB    | ########## | 100% 
harfbuzz-1.9.0       | 957 KB    |            |   0% harfbuzz-1.9.0       | 957 KB    | ########## | 100% 
gcc_impl_linux-64-7. | 41.9 MB   |            |   0% gcc_impl_linux-64-7. | 41.9 MB   | ##3        |  24% gcc_impl_linux-64-7. | 41.9 MB   | #####5     |  56% gcc_impl_linux-64-7. | 41.9 MB   | ########7  |  88% gcc_impl_linux-64-7. | 41.9 MB   | ########## | 100% 
libxcb-1.13          | 396 KB    |            |   0% libxcb-1.13          | 396 KB    | ########## | 100% 
r-tibble-2.1.1       | 316 KB    |            |   0% r-tibble-2.1.1       | 316 KB    | ########## | 100% 
gcc_linux-64-7.3.0   | 22 KB     |            |   0% gcc_linux-64-7.3.0   | 22 KB     | ########## | 100% 
jpeg-9c              | 251 KB    |            |   0% jpeg-9c              | 251 KB    | ########## | 100% 
r-munsell-0.5.0      | 254 KB    |            |   0% r-munsell-0.5.0      | 254 KB    | 6          |   6% r-munsell-0.5.0      | 254 KB    | ########## | 100% 
r-magrittr-1.5       | 173 KB    |            |   0% r-magrittr-1.5       | 173 KB    | ########## | 100% 
gsl-2.4              | 2.6 MB    |            |   0% gsl-2.4              | 2.6 MB    | ########1  |  81% gsl-2.4              | 2.6 MB    | ########## | 100% 
bzip2-1.0.8          | 396 KB    |            |   0% bzip2-1.0.8          | 396 KB    | ########## | 100% 
krb5-1.16.4          | 1.2 MB    |            |   0% krb5-1.16.4          | 1.2 MB    | ########## | 100% 
r-gtable-0.3.0       | 425 KB    |            |   0% r-gtable-0.3.0       | 425 KB    | ########## | 100% 
libssh2-1.8.2        | 257 KB    |            |   0% libssh2-1.8.2        | 257 KB    | ########## | 100% 
r-lava-1.6.5         | 2.2 MB    |            |   0% r-lava-1.6.5         | 2.2 MB    | ########## | 100% 
xorg-libxdmcp-1.1.3  | 18 KB     |            |   0% xorg-libxdmcp-1.1.3  | 18 KB     | ########## | 100% 
liblapack-3.8.0      | 10 KB     |            |   0% liblapack-3.8.0      | 10 KB     | ########## | 100% 
r-tidyselect-0.2.5   | 138 KB    |            |   0% r-tidyselect-0.2.5   | 138 KB    | ########## | 100% 
binutils_impl_linux- | 9.2 MB    |            |   0% binutils_impl_linux- | 9.2 MB    | ######1    |  61% binutils_impl_linux- | 9.2 MB    | ########## | 100% 
r-rpart-4.1_15       | 719 KB    |            |   0% r-rpart-4.1_15       | 719 KB    | ########## | 100% 
r-stringi-1.4.3      | 773 KB    |            |   0% r-stringi-1.4.3      | 773 KB    | ########## | 100% 
libopenblas-0.3.7    | 7.6 MB    |            |   0% libopenblas-0.3.7    | 7.6 MB    | ########## | 100% 
r-rcolorbrewer-1.1_2 | 62 KB     |            |   0% r-rcolorbrewer-1.1_2 | 62 KB     | ########## | 100% 
r-pillar-1.3.1       | 180 KB    |            |   0% r-pillar-1.3.1       | 180 KB    | ########## | 100% 
Preparing transaction: ...working... done
Verifying transaction: ...working... done
Executing transaction: ...working... done
Cache location: /usr/src/app/anaconda/pkgs
Will remove the following tarballs:

/usr/src/app/anaconda/pkgs
--------------------------
_libgcc_mutex-0.1-main.conda                   3 KB
asn1crypto-1.2.0-py27_0.tar.bz2              164 KB
ca-certificates-2019.10.16-0.tar.bz2         131 KB
certifi-2019.9.11-py27_0.tar.bz2             154 KB
cffi-1.13.0-py27h2e261b9_0.tar.bz2           220 KB
chardet-3.0.4-py27_1003.conda                171 KB
conda-4.7.12-py27_0.tar.bz2                  3.0 MB
conda-package-handling-1.6.0-py27h7b6447c_0.conda     797 KB
cryptography-2.8-py27h1ba5d50_0.tar.bz2      614 KB
enum34-1.1.6-py27_1.conda                     58 KB
futures-3.3.0-py27_0.conda                    29 KB
idna-2.8-py27_0.conda                        114 KB
ipaddress-1.0.23-py_0.tar.bz2                 23 KB
libedit-3.1.20181209-hc058e9b_0.conda        163 KB
libffi-3.2.1-hd88cf55_4.conda                 40 KB
libgcc-ng-9.1.0-hdf63c60_0.conda             5.1 MB
libstdcxx-ng-9.1.0-hdf63c60_0.conda          3.1 MB
ncurses-6.1-he6710b0_1.conda                 777 KB
openssl-1.1.1d-h7b6447c_3.tar.bz2            3.7 MB
pip-19.3.1-py27_0.tar.bz2                    1.9 MB
pycosat-0.6.3-py27h14c3975_0.conda            79 KB
pycparser-2.19-py27_0.conda                  172 KB
pyopenssl-19.0.0-py27_0.conda                 81 KB
pysocks-1.7.1-py27_0.tar.bz2                  30 KB
python-2.7.17-h9bab390_0.conda               9.8 MB
readline-7.0-h7b6447c_5.conda                324 KB
requests-2.22.0-py27_0.conda                  92 KB
ruamel_yaml-0.15.46-py27h14c3975_0.conda     234 KB
setuptools-41.4.0-py27_0.tar.bz2             640 KB
six-1.12.0-py27_0.conda                       23 KB
sqlite-3.30.0-h7b6447c_0.tar.bz2             1.9 MB
tk-8.6.8-hbc83047_0.conda                    2.8 MB
tqdm-4.36.1-py_0.conda                        50 KB
urllib3-1.24.2-py27_0.conda                  158 KB
wheel-0.33.6-py27_0.tar.bz2                   40 KB
yaml-0.1.7-had09818_2.conda                   73 KB
zlib-1.2.11-h7b6447c_3.conda                 103 KB
icu-58.2-hf484d3e_1000.tar.bz2              22.6 MB
r-mgcv-1.8_28-r36h96ca727_0.tar.bz2          2.6 MB
r-kernsmooth-2.23_15-r36ha65eedd_4.tar.bz2     102 KB
r-reshape2-1.4.3-r36h29659fb_0.tar.bz2       129 KB
graphite2-1.3.13-he1b5a44_1001.tar.bz2       102 KB
libwebp-base-1.1.0-h516909a_3.tar.bz2        845 KB
libcurl-7.68.0-hda55be3_0.tar.bz2            564 KB
r-ipred-0.9_8-r36h96ca727_0.tar.bz2          393 KB
xz-5.2.5-h516909a_0.tar.bz2                  430 KB
pixman-0.38.0-h516909a_1003.tar.bz2          594 KB
r-modelmetrics-1.2.2-r36h29659fb_0.tar.bz2     160 KB
samtools-1.9-h10a08f8_12.tar.bz2             299 KB
fontconfig-2.13.0-h9420a91_0.conda           227 KB
make-4.3-h516909a_0.tar.bz2                  505 KB
r-stringr-1.4.0-r36h6115d3f_0.tar.bz2        221 KB
libpng-1.6.37-hed695b0_1.tar.bz2             308 KB
r-withr-2.1.2-r36h6115d3f_0.tar.bz2          181 KB
python_abi-2.7-1_cp27mu.tar.bz2                4 KB
r-generics-0.0.2-r36h6115d3f_0.tar.bz2        82 KB
gfortran_impl_linux-64-7.3.0-hdf63c60_5.tar.bz2     9.4 MB
r-nlme-3.1_139-r36ha65eedd_0.tar.bz2         2.2 MB
r-fansi-0.4.0-r36h96ca727_0.tar.bz2          193 KB
r-survival-2.44_1.1-r36h96ca727_0.tar.bz2     4.8 MB
libcblas-3.8.0-14_openblas.tar.bz2            10 KB
libiconv-1.15-h516909a_1006.tar.bz2          2.0 MB
certifi-2019.11.28-py27h8c360ce_1.tar.bz2     149 KB
_r-mutex-1.0.1-anacondar_1.tar.bz2             3 KB
r-gower-0.2.0-r36h96ca727_0.tar.bz2          173 KB
r-assertthat-0.2.1-r36h6115d3f_0.tar.bz2      74 KB
r-prodlim-2018.04.18-r36h29659fb_0.tar.bz2     408 KB
r-base-3.6.1-h9bb98a2_1.tar.bz2             39.7 MB
r-cli-1.1.0-r36h6115d3f_0.tar.bz2            189 KB
r-utf8-1.1.4-r36h96ca727_0.tar.bz2           159 KB
r-plogr-0.2.0-r36h6115d3f_0.tar.bz2           20 KB
python-2.7.15-h9bab390_6.conda               9.7 MB
lz4-c-1.9.2-he1b5a44_0.tar.bz2               223 KB
zstd-1.4.4-h6597ccf_3.tar.bz2                991 KB
glib-2.56.2-had28632_1001.tar.bz2            4.7 MB
r-rcpp-1.0.1-r36h29659fb_0.tar.bz2           3.3 MB
r-purrr-0.3.2-r36h96ca727_0.tar.bz2          397 KB
binutils_linux-64-2.34-hc952b39_18.tar.bz2      21 KB
r-matrix-1.2_17-r36h96ca727_0.tar.bz2        3.8 MB
openssl-1.1.1g-h516909a_0.tar.bz2            2.1 MB
cairo-1.14.12-h8948797_3.conda               906 KB
fribidi-1.0.9-h516909a_0.tar.bz2             113 KB
conda-4.8.3-py27h8c360ce_1.tar.bz2           3.0 MB
r-ggplot2-3.1.1-r36h6115d3f_0.tar.bz2        3.6 MB
r-colorspace-1.4_1-r36h96ca727_0.tar.bz2     2.5 MB
tktable-2.10-h14c3975_0.conda                 86 KB
r-dichromat-2.0_0-r36h6115d3f_4.tar.bz2      163 KB
numpy-1.16.5-py27h95a1406_0.tar.bz2          4.3 MB
r-scales-1.0.0-r36h29659fb_0.tar.bz2         580 KB
r-rcpproll-0.3.0-r36h29659fb_0.tar.bz2       117 KB
r-caret-6.0_83-r36h96ca727_0.tar.bz2         6.0 MB
ld_impl_linux-64-2.34-h53a641e_0.tar.bz2     616 KB
r-bh-1.69.0_1-r36h6115d3f_0.tar.bz2         10.9 MB
r-mass-7.3_51.3-r36h96ca727_0.tar.bz2        1.1 MB
r-crayon-1.3.4-r36h6115d3f_0.tar.bz2         757 KB
libxml2-2.9.9-h13577e0_2.tar.bz2             1.3 MB
r-plyr-1.8.4-r36h29659fb_0.tar.bz2           815 KB
r-iterators-1.0.10-r36h6115d3f_0.tar.bz2     340 KB
r-data.table-1.12.2-r36h96ca727_0.tar.bz2     1.5 MB
gxx_linux-64-7.3.0-h553295d_18.tar.bz2        21 KB
libtiff-4.1.0-hc7e4089_6.tar.bz2             668 KB
r-r6-2.4.0-r36h6115d3f_0.tar.bz2              68 KB
r-recipes-0.1.5-r36h6115d3f_0.tar.bz2        1.4 MB
bwidget-1.9.14-0.tar.bz2                     119 KB
r-rlang-0.3.4-r36h96ca727_0.tar.bz2          1.0 MB
curl-7.68.0-hf8cf82a_0.tar.bz2               137 KB
xorg-libxau-1.0.9-h14c3975_0.tar.bz2          13 KB
libuuid-1.0.3-h1bed415_2.conda                15 KB
r-foreach-1.4.4-r36h6115d3f_0.tar.bz2        412 KB
r-glue-1.3.1-r36h96ca727_0.tar.bz2           165 KB
r-lubridate-1.7.4-r36h29659fb_0.tar.bz2      1.1 MB
r-squarem-2017.10_1-r36h6115d3f_0.tar.bz2     302 KB
gfortran_linux-64-7.3.0-h553295d_18.tar.bz2      21 KB
r-tidyr-0.8.3-r36h29659fb_0.tar.bz2          446 KB
r-randomforest-4.6_14-r36ha65eedd_0.tar.bz2     229 KB
libdeflate-1.2-h516909a_1.tar.bz2             63 KB
freetype-2.10.1-he06d7ca_0.tar.bz2           877 KB
r-lazyeval-0.2.2-r36h96ca727_0.tar.bz2       164 KB
r-lattice-0.20_38-r36h96ca727_0.tar.bz2      1.1 MB
r-pkgconfig-2.0.2-r36h6115d3f_0.tar.bz2       25 KB
ca-certificates-2020.4.5.1-hecc5488_0.tar.bz2     146 KB
biopython-1.74-py27h516909a_0.tar.bz2        2.5 MB
r-class-7.3_15-r36h96ca727_0.tar.bz2          93 KB
r-codetools-0.2_16-r36h6115d3f_0.tar.bz2     107 KB
libblas-3.8.0-14_openblas.tar.bz2             10 KB
r-digest-0.6.18-r36h96ca727_0.tar.bz2        155 KB
r-viridislite-0.3.0-r36h6115d3f_0.tar.bz2      66 KB
gettext-0.19.8.1-hc5be6a0_1002.tar.bz2       3.6 MB
libgfortran-ng-7.3.0-hdf63c60_5.tar.bz2      1.7 MB
pcre-8.44-he1b5a44_0.tar.bz2                 261 KB
r-nnet-7.3_12-r36h96ca727_0.tar.bz2          119 KB
r-labeling-0.3-r36h6115d3f_4.tar.bz2          71 KB
pthread-stubs-0.4-h14c3975_1001.tar.bz2        5 KB
r-timedate-3043.102-r36h6115d3f_0.tar.bz2     1.6 MB
htslib-1.9-h4da6232_3.tar.bz2                1.2 MB
pango-1.42.4-h049681c_0.conda                464 KB
gxx_impl_linux-64-7.3.0-hdf63c60_1.conda    15.0 MB
r-dplyr-0.8.0.1-r36h29659fb_0.tar.bz2        1.9 MB
r-numderiv-2016.8_1-r36h6115d3f_0.tar.bz2     132 KB
harfbuzz-1.9.0-he243708_1001.tar.bz2         957 KB
gcc_impl_linux-64-7.3.0-habb00fd_1.conda    41.9 MB
libxcb-1.13-h14c3975_1002.tar.bz2            396 KB
r-tibble-2.1.1-r36h96ca727_0.tar.bz2         316 KB
gcc_linux-64-7.3.0-h553295d_18.tar.bz2        22 KB
jpeg-9c-h14c3975_1001.tar.bz2                251 KB
r-munsell-0.5.0-r36h6115d3f_0.tar.bz2        254 KB
r-magrittr-1.5-r36h6115d3f_4.tar.bz2         173 KB
gsl-2.4-h294904e_1006.tar.bz2                2.6 MB
bzip2-1.0.8-h516909a_2.tar.bz2               396 KB
krb5-1.16.4-h173b8e3_0.conda                 1.2 MB
r-gtable-0.3.0-r36h6115d3f_0.tar.bz2         425 KB
libssh2-1.8.2-h22169c7_2.tar.bz2             257 KB
r-lava-1.6.5-r36h6115d3f_0.tar.bz2           2.2 MB
xorg-libxdmcp-1.1.3-h516909a_0.tar.bz2        18 KB
liblapack-3.8.0-14_openblas.tar.bz2           10 KB
r-tidyselect-0.2.5-r36h29659fb_0.tar.bz2     138 KB
binutils_impl_linux-64-2.34-h53a641e_0.tar.bz2     9.2 MB
r-rpart-4.1_15-r36h96ca727_0.tar.bz2         719 KB
r-stringi-1.4.3-r36h29659fb_0.tar.bz2        773 KB
libopenblas-0.3.7-h5ec1e0e_6.tar.bz2         7.6 MB
r-rcolorbrewer-1.1_2-r36h6115d3f_0.tar.bz2      62 KB
r-pillar-1.3.1-r36h6115d3f_0.tar.bz2         180 KB

---------------------------------------------------
Total:                                     297.4 MB

Removed _libgcc_mutex-0.1-main.conda
Removed asn1crypto-1.2.0-py27_0.tar.bz2
Removed ca-certificates-2019.10.16-0.tar.bz2
Removed certifi-2019.9.11-py27_0.tar.bz2
Removed cffi-1.13.0-py27h2e261b9_0.tar.bz2
Removed chardet-3.0.4-py27_1003.conda
Removed conda-4.7.12-py27_0.tar.bz2
Removed conda-package-handling-1.6.0-py27h7b6447c_0.conda
Removed cryptography-2.8-py27h1ba5d50_0.tar.bz2
Removed enum34-1.1.6-py27_1.conda
Removed futures-3.3.0-py27_0.conda
Removed idna-2.8-py27_0.conda
Removed ipaddress-1.0.23-py_0.tar.bz2
Removed libedit-3.1.20181209-hc058e9b_0.conda
Removed libffi-3.2.1-hd88cf55_4.conda
Removed libgcc-ng-9.1.0-hdf63c60_0.conda
Removed libstdcxx-ng-9.1.0-hdf63c60_0.conda
Removed ncurses-6.1-he6710b0_1.conda
Removed openssl-1.1.1d-h7b6447c_3.tar.bz2
Removed pip-19.3.1-py27_0.tar.bz2
Removed pycosat-0.6.3-py27h14c3975_0.conda
Removed pycparser-2.19-py27_0.conda
Removed pyopenssl-19.0.0-py27_0.conda
Removed pysocks-1.7.1-py27_0.tar.bz2
Removed python-2.7.17-h9bab390_0.conda
Removed readline-7.0-h7b6447c_5.conda
Removed requests-2.22.0-py27_0.conda
Removed ruamel_yaml-0.15.46-py27h14c3975_0.conda
Removed setuptools-41.4.0-py27_0.tar.bz2
Removed six-1.12.0-py27_0.conda
Removed sqlite-3.30.0-h7b6447c_0.tar.bz2
Removed tk-8.6.8-hbc83047_0.conda
Removed tqdm-4.36.1-py_0.conda
Removed urllib3-1.24.2-py27_0.conda
Removed wheel-0.33.6-py27_0.tar.bz2
Removed yaml-0.1.7-had09818_2.conda
Removed zlib-1.2.11-h7b6447c_3.conda
Removed icu-58.2-hf484d3e_1000.tar.bz2
Removed r-mgcv-1.8_28-r36h96ca727_0.tar.bz2
Removed r-kernsmooth-2.23_15-r36ha65eedd_4.tar.bz2
Removed r-reshape2-1.4.3-r36h29659fb_0.tar.bz2
Removed graphite2-1.3.13-he1b5a44_1001.tar.bz2
Removed libwebp-base-1.1.0-h516909a_3.tar.bz2
Removed libcurl-7.68.0-hda55be3_0.tar.bz2
Removed r-ipred-0.9_8-r36h96ca727_0.tar.bz2
Removed xz-5.2.5-h516909a_0.tar.bz2
Removed pixman-0.38.0-h516909a_1003.tar.bz2
Removed r-modelmetrics-1.2.2-r36h29659fb_0.tar.bz2
Removed samtools-1.9-h10a08f8_12.tar.bz2
Removed fontconfig-2.13.0-h9420a91_0.conda
Removed make-4.3-h516909a_0.tar.bz2
Removed r-stringr-1.4.0-r36h6115d3f_0.tar.bz2
Removed libpng-1.6.37-hed695b0_1.tar.bz2
Removed r-withr-2.1.2-r36h6115d3f_0.tar.bz2
Removed python_abi-2.7-1_cp27mu.tar.bz2
Removed r-generics-0.0.2-r36h6115d3f_0.tar.bz2
Removed gfortran_impl_linux-64-7.3.0-hdf63c60_5.tar.bz2
Removed r-nlme-3.1_139-r36ha65eedd_0.tar.bz2
Removed r-fansi-0.4.0-r36h96ca727_0.tar.bz2
Removed r-survival-2.44_1.1-r36h96ca727_0.tar.bz2
Removed libcblas-3.8.0-14_openblas.tar.bz2
Removed libiconv-1.15-h516909a_1006.tar.bz2
Removed certifi-2019.11.28-py27h8c360ce_1.tar.bz2
Removed _r-mutex-1.0.1-anacondar_1.tar.bz2
Removed r-gower-0.2.0-r36h96ca727_0.tar.bz2
Removed r-assertthat-0.2.1-r36h6115d3f_0.tar.bz2
Removed r-prodlim-2018.04.18-r36h29659fb_0.tar.bz2
Removed r-base-3.6.1-h9bb98a2_1.tar.bz2
Removed r-cli-1.1.0-r36h6115d3f_0.tar.bz2
Removed r-utf8-1.1.4-r36h96ca727_0.tar.bz2
Removed r-plogr-0.2.0-r36h6115d3f_0.tar.bz2
Removed python-2.7.15-h9bab390_6.conda
Removed lz4-c-1.9.2-he1b5a44_0.tar.bz2
Removed zstd-1.4.4-h6597ccf_3.tar.bz2
Removed glib-2.56.2-had28632_1001.tar.bz2
Removed r-rcpp-1.0.1-r36h29659fb_0.tar.bz2
Removed r-purrr-0.3.2-r36h96ca727_0.tar.bz2
Removed binutils_linux-64-2.34-hc952b39_18.tar.bz2
Removed r-matrix-1.2_17-r36h96ca727_0.tar.bz2
Removed openssl-1.1.1g-h516909a_0.tar.bz2
Removed cairo-1.14.12-h8948797_3.conda
Removed fribidi-1.0.9-h516909a_0.tar.bz2
Removed conda-4.8.3-py27h8c360ce_1.tar.bz2
Removed r-ggplot2-3.1.1-r36h6115d3f_0.tar.bz2
Removed r-colorspace-1.4_1-r36h96ca727_0.tar.bz2
Removed tktable-2.10-h14c3975_0.conda
Removed r-dichromat-2.0_0-r36h6115d3f_4.tar.bz2
Removed numpy-1.16.5-py27h95a1406_0.tar.bz2
Removed r-scales-1.0.0-r36h29659fb_0.tar.bz2
Removed r-rcpproll-0.3.0-r36h29659fb_0.tar.bz2
Removed r-caret-6.0_83-r36h96ca727_0.tar.bz2
Removed ld_impl_linux-64-2.34-h53a641e_0.tar.bz2
Removed r-bh-1.69.0_1-r36h6115d3f_0.tar.bz2
Removed r-mass-7.3_51.3-r36h96ca727_0.tar.bz2
Removed r-crayon-1.3.4-r36h6115d3f_0.tar.bz2
Removed libxml2-2.9.9-h13577e0_2.tar.bz2
Removed r-plyr-1.8.4-r36h29659fb_0.tar.bz2
Removed r-iterators-1.0.10-r36h6115d3f_0.tar.bz2
Removed r-data.table-1.12.2-r36h96ca727_0.tar.bz2
Removed gxx_linux-64-7.3.0-h553295d_18.tar.bz2
Removed libtiff-4.1.0-hc7e4089_6.tar.bz2
Removed r-r6-2.4.0-r36h6115d3f_0.tar.bz2
Removed r-recipes-0.1.5-r36h6115d3f_0.tar.bz2
